"Transaction Type","Type (Credit/Debit)","Balance Before","Amount","Balance After","Transaction Reference","Transaction Status","Transaction Timestamp"
"DMT TRANSACTIONS","DEBIT","14663.13","130.43","14532.71","b94df461-be12-405f-8f59-05f04f73dcd8","Success","25/07/2023 06:31:11 pm"
"RECHARGE TRANSACTIONS","DEBIT","14672.88","9.75","14663.13","7988882d-ab42-4683-8dfa-88335041f646","Success","25/07/2023 02:39:52 pm"
"DMT TRANSACTIONS","DEBIT","14793.35","120.47","14672.88","4e7c48c3-dfb2-4dab-b2e3-028aecff522d","Success","25/07/2023 02:39:06 pm"
"RECHARGE TRANSACTIONS","DEBIT","14809.25","15.90","14793.35","479cb278-78b6-44a3-97ac-bb84f66d9865","Success","25/07/2023 02:34:53 pm"
"RECHARGE TRANSACTIONS","DEBIT","14825.83","16.58","14809.25","fa07432c-0193-48b3-b7e6-37090e44b058","Success","24/07/2023 05:07:36 pm"
"RECHARGE TRANSACTIONS","DEBIT","14842.40","16.58","14825.83","efcbffd4-8cf2-4772-b8c3-6812a45a5862","Success","24/07/2023 12:07:24 pm"
"FUND TRANSFER","CREDIT","14742.40","100.00","14842.40","bdd5e971-8ad2-418b-8dca-3dc05e0effd3","Success","24/07/2023 12:04:20 pm"
"RECHARGE TRANSACTIONS","DEBIT","14758.30","15.90","14742.40","f87625b9-ba4d-4d0b-a0c0-c87690ba2fc4","Success","24/07/2023 11:22:29 am"
"DMT TRANSACTIONS","DEBIT","14867.83","109.53","14758.30","da40b1bb-55d4-4c2a-95f9-6de8c115376c","Success","24/07/2023 11:15:13 am"
"DMT TRANSACTIONS","DEBIT","14977.35","109.53","14867.83","7f87cae4-de46-4633-b848-e805fa7a3bfa","Success","23/07/2023 01:24:25 pm"
"DMT TRANSACTIONS","DEBIT","15107.78","130.43","14977.35","88500898-9c87-4446-955b-2690ef3a21aa","Success","23/07/2023 01:09:26 pm"
"DMT TRANSACTIONS","DEBIT","15228.25","120.47","15107.78","997b414b-6c98-4858-9a53-0c9e9a5a6bce","Success","23/07/2023 12:45:36 pm"
"FUND TRANSFER","DEBIT","15328.25","100.00","15228.25","4a0c17ee-1304-44dc-8593-c7c3ac1e288f","Success","20/07/2023 03:35:03 pm"
"FUND TRANSFER","CREDIT","15228.25","100.00","15328.25","8ceafeec-08f3-49f7-8071-250208ec7f9d","Success","20/07/2023 03:30:39 pm"
"FUND TRANSFER","DEBIT","15328.25","100.00","15228.25","0a68ec65-a9c9-4379-8dd3-7cf98d62e52c","Success","20/07/2023 02:50:53 pm"
"FUND TRANSFER","CREDIT","15228.25","100.00","15328.25","0ea10df7-ea37-4df7-83ad-d63b9823f651","Success","20/07/2023 02:39:13 pm"
"DMT ECAPS VERIFY BENEFICIARY","DEBIT","15231.61","3.36","15228.25","f0e289cf-e513-4d2d-ae1f-b79fc08a602f","Success","18/07/2023 07:02:10 pm"
"RECHARGE TRANSACTIONS","DEBIT","15248.19","16.58","15231.61","32eab299-af33-4403-a631-ccb6d1411534","Success","18/07/2023 12:21:11 pm"
"FUND TRANSFER","DEBIT","15348.19","100.00","15248.19","4fdd1d2a-ca54-41ab-864f-a2d80774bfa3","Success","18/07/2023 11:58:07 am"
"RECHARGE TRANSACTIONS","DEBIT","15444.71","96.53","15348.19","c8d43c81-fd56-47af-974d-5184f28cf833","Success","18/07/2023 11:52:22 am"
"FUND TRANSFER","CREDIT","15344.71","100.00","15444.71","35c7ffe0-57c1-488b-be0a-420f2b019958","Success","17/07/2023 10:42:15 pm"
